연번,읍면,경로당명,주 소
201,법수면,인무리노인회,경상남도 함안군 법수면 주물2길 59-18
202,법수면,토현경로당,경상남도 함안군 법수면 장백로 1221
203,법수면,학구경로당,경상남도 함안군 법수면 두배길 262
204,법수면,황사경로당,경상남도 함안군 법수면 황사리 241
205,대산면,가등경로당,경상남도 함안군 대산면 평림2길 100-14
206,대산면,고원경로당,경상남도 함안군 대산면 고원길 100-2
207,대산면,구혜경로당,경상남도 함안군 대산면 구혜4길 20
208,대산면,구혜본동경로당,경상남도 함안군 대산면 구혜5길 9
209,대산면,구혜작목반경로당,경상남도 함안군 대산면 구혜리 392-2
210,대산면,기동경로당,경상남도 함안군 대산면 하기리 689-3
211,대산면,대사경로당,경상남도 함안군 대산면 대사1길 141
212,대산면,대산면경로당,경상남도 함안군 대산면 구혜리 255-8 (대산중앙4길 42)
213,대산면,대암경로당,경상남도 함안군 대산면 장암2길 94-4
214,대산면,대암능곡경로당,경상남도 함안군 대산면 장암3길 134-1
215,대산면,대이열경로당,경상남도 함안군 대산면 옥렬2길 59
216,대산면,동촌경로당,경상남도 함안군 대산면 서촌리 402번지
217,대산면,마산경로당,경상남도 함안군 대산면 부목1길 6
218,대산면,매산경로당,경상남도 함안군 대산면 구혜리 342
219,대산면,매산농가반경로당,경상남도 함안군 대산면 구혜리 386-6
220,대산면,매산여성경로당,경상남도 함안군 대산면 구혜리 269-1
221,대산면,목지경로당,경상남도 함안군 대산면 부목2길 124
222,대산면,부촌경로당,경상남도 함안군 대산면 부촌길 40
223,대산면,사촌경로당,경상남도 함안군 대산면 대사4길 7-19
224,대산면,상동촌경로당,경상남도 함안군 대산면 서촌3길 220
225,대산면,서촌경로당,경상남도 함안군 대산면 서촌2길 120-1
226,대산면,소사경로당,경상남도 함안군 대산면 대사2길 130
227,대산면,소이열경로당,경상남도 함안군 대산면 옥렬3길 85
228,대산면,신대경로당,경상남도 함안군 대산면 하기1길 56
229,대산면,신등샛터경로당,경상남도 함안군 대산면 평림3길 75
230,대산면,신촌경로당,경상남도 함안군 대산면 부목3길 126
231,대산면,연산경로당,경상남도 함안군 대산면 구암2길 140
232,대산면,옥산경로당,경상남도 함안군 대산면 옥렬리 488번지
233,대산면,월포경로당,경상남도 함안군 대산면 월포길 36-27
234,대산면,입사경로당,경상남도 함안군 대산면 장암4길 164-14
235,대산면,장장골장수사랑방,경상남도 함안군 대산면 서촌리 83-1
236,대산면,장포경로당,경상남도 함안군 대산면 구암4길 175
237,대산면,장포동장수사랑방,경상남도 함안군 대산면 구암3길 22
238,대산면,중앙동경로당,경상남도 함안군 대산면 대산중앙로 98-12
239,대산면,취무경로당,경상남도 함안군 대산면 평림리 1227-3
240,대산면,평기경로당,경상남도 함안군 대산면 하기2길 22
241,대산면,평림경로당,경상남도 함안군 대산면 평림1길 29-27
242,칠서면,강태동경로당,경상남도 함안군 칠서면 태곡1길 140-26
243,칠서면,구곡경로당,경상남도 함안군 칠서면 구포2길 80
244,칠서면,내내경로당,경상남도 함안군 칠서면 계내1길 43-6
245,칠서면,대치경로당,경상남도 함안군 칠서면 대치리 816
246,칠서면,무릉경로당,경상남도 함안군 칠서면 무릉길 66-2
247,칠서면,배암경로당,경상남도 함안군 칠서면 공단상가3길 113
248,칠서면,본용성 새동네경로당,경상남도 함안군 칠서면 계룡로 65
249,칠서면,본용성경로당,경상남도 함안군 칠서면 본용성길 80
250,칠서면,산성경로당,경상남도 함안군 칠서면 삼칠로 281-30
251,칠서면,송락경로당,경상남도 함안군 칠서면 용성길 112
252,칠서면,신계경로당,경상남도 함안군 칠서면 계내리 100-17
253,칠서면,신기본동경로당,경상남도 함안군 칠서면 삼칠로 1292
254,칠서면,신기부녀경로당,경상남도 함안군 칠서면 신기안길 39
255,칠서면,신산경로당,경상남도 함안군 칠서면 회산1길 58
256,칠서면,안기경로당,경상남도 함안군 칠서면 회산길 103-1
257,칠서면,어령경로당,경상남도 함안군 칠서면 어령길 54
258,칠서면,용동경로당,경상남도 함안군 칠서면 칠성로 440
259,칠서면,용호경로당,경상남도 함안군 칠서면 용호2길 16-12
260,칠서면,웃배골장수사랑방,경상남도 함안군 칠서면 이산로 139-1
261,칠서면,유계경로당,경상남도 함안군 칠서면 구포1길 100-3
262,칠서면,이곡경로당,경상남도 함안군 칠서면 태곡2길 96
263,칠서면,진동경로당,경상남도 함안군 칠서면 계내2길 52-23
264,칠서면,창동경로당,경상남도 함안군 칠서면 청계3길 39
265,칠서면,청계경로당,경상남도 함안군 칠서면 청계리 772-4
266,칠서면,칠서면경로당,경상남도 함안군 칠서면 용성리 30-9
267,칠서면,칠평경로당,경상남도 함안군 칠서면 무릉리 1122
268,칠서면,평계경로당,경상남도 함안군 칠서면 유성로 293
269,칠서면,평지동경로당,경상남도 함안군 칠서면 이룡리 875 =>926-1(이룡2길 27-27)
270,칠서면,향촌경로당,경상남도 함안군 칠서면 계내리 67
271,칠서면,회문경로당,경상남도 함안군 칠서면 회산리 149-1
272,칠북면,가동경로당,경상남도 함안군 칠북면 가동길 43
273,칠북면,남양경로당,경상남도 함안군 칠북면 남양길 14-4
274,칠북면,내봉촌경로당,경상남도 함안군 칠북면 온천로 333
275,칠북면,단구경로당,경상남도 함안군 칠북면 단내로 105
276,칠북면,단계경로당,경상남도 함안군 칠북면 단내로 81
277,칠북면,덕촌경로당,경상남도 함안군 칠북면 덕남리 230
278,칠북면,동태경로당,경상남도 함안군 칠북면 영동리 357번지 동태마을회관
279,칠북면,령동경로당,경상남도 함안군 칠북면 이령리 234-26
280,칠북면,령동중앙장수경로당,경상남도 함안군 칠북면 이령1길 30
281,칠북면,령서경로당,경상남도 함안군 칠북면 령서길 37
282,칠북면,령서하실경로당,경상남도 함안군 칠북면 삼칠로 1732-9
283,칠북면,상촌경로당,경상남도 함안군 칠북면 검단리 407
284,칠북면,성호경로당,경상남도 함안군 칠북면 화천1길 260
285,칠북면,아산경로당,경상남도 함안군 칠북면 검단4길 19-7
286,칠북면,애련둘 장수사랑방,경상남도 함안군 칠북면 가연리 1110-6
287,칠북면,어연경로당,경상남도 함안군 칠북면 가연로 117
288,칠북면,영동경로당,경상남도 함안군 칠북면 영동리 781-4
289,칠북면,외봉촌경로당,경상남도 함안군 칠북면 온천로 103
290,칠북면,유계경로당,경상남도 함안군 칠북면 검단리 1322
291,칠북면,이령경로당,경상남도 함안군 칠북면 온천로 53
292,칠북면,칠북면분회경로당,경상남도 함안군 칠북면 삼칠로 2081-1
293,칠북면,화천경로당,경상남도 함안군 칠북면 화천길 164
294,산인면,가사대경로당,경상남도 함안군 산인면 송정리 274번지 3호
295,산인면,가산경로당,경상남도 함안군 산인면 송정1길 169-2
296,산인면,갈전경로당,경상남도 함안군 산인면 모곡길 163
297,산인면,고려동경로당,경상남도 함안군 산인면 모곡2길 37-3
298,산인면,구일경로당,경상남도 함안군 산인면 부봉리 257-1
299,산인면,대천경로당,경상남도 함안군 산인면 대천길 81
300,산인면,도천경로당,경상남도 함안군 산인면 모곡5길 135-10
301,산인면,부봉경로당,경상남도 함안군 산인면 부봉3길 5 (1층)
302,산인면,산익경로당,경상남도 함안군 산인면 신산리 448
303,산인면,산인면 학산경로당,경상남도 함안군 산인면 학산2길 19
304,산인면,산인면경로당,경상남도 함안군 산인면 가야로 217 (산인면종합복지관 내 1층)
305,산인면,송정경로당,경상남도 함안군 산인면 송정1길 32
306,산인면,수동경로당,경상남도 함안군 산인면 모곡1길 129-1 (개인 소유 주소) / 주소 확인 필요!!
307,산인면,숲안경로당,경상남도 함안군 산인면 입곡길 283
308,산인면,신당경로당,경상남도 함안군 산인면 신산2길 38
309,산인면,안인경로당,경상남도 함안군 산인면 내인길 125-23
310,산인면,양지경로당,경상남도 함안군 산인면 입곡리 506-3
311,산인면,어연경로당,경상남도 함안군 산인면 부봉리 508
312,산인면,외동경로당,경상남도 함안군 산인면 내인외동길 16-4
313,산인면,운곡경로당,경상남도 함안군 산인면 산인운곡길 61-28
314,산인면,유목정경로당,경상남도 함안군 산인면 모곡길 43
315,산인면,입곡 다복경로당,경상남도 함안군 산인면 입곡리 806-1
316,산인면,입곡경로당,경상남도 함안군 산인면 입곡본1길 21
317,산인면,중촌경로당,경상남도 함안군 산인면 입곡1길 35
318,산인면,하송경로당,경상남도 함안군 산인면 송정2길 11
319,여항면,감현경로당,경상남도 함안군 여항면 주동1길 69
320,여항면,내곡경로당,경상남도 함안군 여항면 내곡안길 181
321,여항면,대산경로당,경상남도 함안군 여항면 여항로 291
322,여항면,대촌경로당,경상남도 함안군 여항면 주서3길 16
323,여항면,두곡경로당,경상남도 함안군 여항면 두곡길 30-35
324,여항면,별천경로당,경상남도 함안군 여항면 주동3길 21-1
325,여항면,봉곡경로당,경상남도 함안군 여항면 내곡2길 43
326,여항면,상별래경로당,경상남도 함안군 여항면 주동2길 224
327,여항면,양촌경로당,경상남도 함안군 여항면 외암리 169-1
328,여항면,좌촌경로당,경상남도 함안군 여항면 주서2길 115
329,여항면,청암경로당,경상남도 함안군 여항면 청암길 34 (외암리 681)
