구분,아파트 단지명,위 치(도로명 주소),세대수,연면적합계(제곱미터),사용승인일,동수,지하,지상,세부용도
61,덕암빌라,경상남도 함안군 가야읍 검암리 612-1(하검안길 20),11,801.21,1996-11-01,1,0,3,연립주택
62,한진빌라,경상남도 함안군 가야읍 말산리 53-4(가야17길10),8,1082.19,1996-12-16,1,0,5,연립주택
63,아라국민주택,경상남도 함안군 가야읍 말산리 175(말산1길19),30,2170.2,1985-02-11,1,0,3,연립주택
64,대한연립,경상남도 함안군 가야읍 도항리 456-3(고분길 75),9,833.71,1990-02-16,1,0,3,연립주택
65,가야빌라,경상남도 함안군 가야읍 도항리 40-11(도항2길 86),12,735.48,1990-10-24,1,0,3,연립주택
66,아람데파트1차,경상남도 함안군 가야읍 말산리 276(말산로 28),18,3671.46,1993-11-02,1,0,5,연립주택
67,아람데파트2차,경상남도 함안군 가야읍 말산리 233(말산로 22,18,3742.53,1995-02-17,1,0,5,연립주택
68,성산아트빌,경상남도 함안군 가야읍 검암리 166(한절골길 27-44),16,1855.2,2004-04-22,1,0,4,연립주택
69,대진빌라,경상남도 함안군 가야읍 말산리 288(중앙본길 10),16,1312.96,2005-08-16,2,0,4,연립주택
70,예다움,경상남도 함안군 가야읍 말산리 189(말산3길 17),16,1501.92,2010-03-16,1,0,5,연립주택
71,스카이블루,경상남도 함안군 가야읍 말산리 302(중앙본안길 37),24,2533.56,2013-04-01,1,0,5,연립주택
